cluster_id,lifetime,node_count,bbox_height,bbox_width,gt_sum,seed_row,seed_col
2,0.6426734030246735,150,14,29,1.0,91,26
3,0.6230736076831818,87,9,19,1.0,113,30
4,0.5856351256370544,83,7,20,1.0,96,61
5,0.5741832256317139,86,11,13,1.0,125,25
8,0.5392717123031616,46,6,15,0.0,127,52
611,0.5378710925579071,38,7,8,2.0,90,62
9,0.5378710925579071,271,17,28,10.0,90,62
612,0.5211938619613647,73,11,14,1.0,31,158
11,0.5211938619613647,449,29,56,17.0,31,158
613,0.49946218729019165,111,14,15,0.0,32,54
12,0.49946218729019165,280,20,26,1.0,32,54
13,0.4933164417743683,75,11,15,1.0,27,174
614,0.49255141615867615,81,11,19,0.0,30,98
15,0.49255141615867615,284,21,42,0.0,30,98
16,0.4903070628643036,101,10,21,5.0,72,75
18,0.4521869719028473,178,17,19,6.0,69,93
20,0.4368865489959717,39,6,10,1.0,78,104
617,0.4219599664211273,37,6,9,1.0,18,102
23,0.4219599664211273,70,13,15,1.0,18,102
28,0.3648497760295868,197,33,20,0.0,67,23
29,0.3307788670063019,78,12,14,0.0,53,147
33,0.31378811597824097,51,12,9,0.0,14,57
35,0.298642098903656,46,8,10,0.0,4,53
36,0.29854702949523926,158,14,19,3.0,70,188
37,0.2917191982269287,71,9,14,3.0,118,131
39,0.2766997814178467,128,12,18,0.0,111,163
42,0.2675015330314636,42,8,11,0.0,69,204
622,0.24741506576538086,24,5,7,0.0,101,192
43,0.24741506576538086,65,7,15,0.0,101,192
44,0.2411789894104004,67,9,19,3.0,6,122
46,0.20351266860961914,40,6,10,0.0,116,147
47,0.1980738639831543,47,10,12,0.0,86,180
48,0.19718438386917114,36,7,9,0.0,75,169
49,0.19473999738693237,55,7,14,0.0,127,211
50,0.18773454427719116,44,8,9,0.0,101,119
51,0.1872812807559967,37,9,9,1.0,56,170
53,0.16737383604049683,24,6,5,0.0,75,160
55,0.16144651174545288,53,10,9,0.0,114,218
56,0.1577201783657074,19,6,5,2.0,69,82
58,0.15478301048278809,17,4,7,0.0,110,209
61,0.14779192209243774,40,6,9,0.0,111,119
62,0.1360982060432434,16,4,6,1.0,67,134
64,0.13337355852127075,63,8,12,0.0,125,189
66,0.12686699628829956,30,6,8,0.0,86,197
68,0.1225704550743103,19,5,7,0.0,101,131
70,0.1214151382446289,29,6,7,0.0,123,86
80,0.09271883964538574,38,7,10,4.0,80,124
81,0.09207099676132202,17,5,5,1.0,57,100
82,0.09112578630447388,44,10,11,0.0,127,113
83,0.09057849645614624,16,6,5,0.0,110,201
86,0.08171030879020691,67,14,14,0.0,18,42
90,0.07487022876739502,38,9,9,0.0,117,195
97,0.06518042087554932,43,9,10,1.0,93,171
98,0.06400658190250397,62,11,8,0.0,13,22
103,0.0620916485786438,138,25,14,0.0,51,87
105,0.06113368272781372,38,12,9,0.0,13,92
108,0.05919206142425537,24,8,5,0.0,89,7
115,0.05488711595535278,61,16,8,0.0,49,65
117,0.05407160520553589,36,8,9,1.0,104,44
120,0.05353426933288574,29,9,6,0.0,104,102
122,0.05293905735015869,17,4,6,0.0,72,55
123,0.05204072594642639,24,7,7,0.0,34,31
127,0.05165290832519531,28,6,8,0.0,56,56
128,0.05144500732421875,26,7,6,5.0,76,153
129,0.051125168800354004,23,5,9,0.0,101,160
132,0.04974377155303955,46,11,10,0.0,39,135
133,0.04973405599594116,18,4,6,0.0,5,220
135,0.048828125,51,8,16,0.0,9,213
631,0.04820212721824646,16,5,5,0.0,36,148
137,0.04820212721824646,43,10,13,0.0,36,148
138,0.04809257388114929,80,22,16,0.0,23,35
142,0.04695892333984375,23,4,10,0.0,104,225
143,0.046749264001846313,16,6,5,0.0,122,144
144,0.04655545949935913,19,5,7,0.0,45,6
634,0.04604208469390869,20,8,6,0.0,98,88
146,0.04604208469390869,46,8,14,0.0,98,88
147,0.045793235301971436,20,6,6,0.0,86,96
149,0.045354247093200684,30,11,7,0.0,125,65
150,0.04535260796546936,19,6,6,0.0,82,10
152,0.044654667377471924,33,11,8,2.0,59,48
154,0.04454284906387329,31,9,11,0.0,6,192
160,0.04183712601661682,45,12,9,0.0,69,42
162,0.04177817702293396,43,11,8,0.0,43,90
164,0.04099521040916443,38,7,12,0.0,35,17
167,0.040269672870635986,22,9,6,0.0,123,179
170,0.039352089166641235,17,7,5,0.0,85,90
171,0.03884348273277283,24,7,8,0.0,52,74
174,0.038588136434555054,28,8,8,0.0,60,207
175,0.0385684072971344,23,6,6,0.0,13,110
177,0.0380670428276062,20,6,5,0.0,21,206
178,0.03806617856025696,38,9,10,0.0,113,62
181,0.037558525800704956,25,7,6,0.0,47,179
182,0.03750672936439514,25,6,6,0.0,55,164
190,0.035903871059417725,35,10,6,0.0,56,38
192,0.03555569052696228,31,9,9,0.0,23,4
195,0.03518766164779663,26,8,7,0.0,97,215
200,0.033632367849349976,31,8,11,0.0,60,122
201,0.03336137533187866,22,5,9,0.0,27,29
202,0.03319475054740906,26,10,10,0.0,54,118
204,0.032527804374694824,22,9,5,0.0,43,131
208,0.03199097514152527,25,8,7,0.0,14,16
210,0.03153064846992493,22,7,5,0.0,116,56
215,0.030796676874160767,24,10,6,0.0,104,84
216,0.030627548694610596,23,7,5,0.0,20,142
636,0.030067771673202515,20,5,7,0.0,46,32
222,0.030067771673202515,41,8,14,0.0,46,32
224,0.029477179050445557,24,7,6,0.0,38,100
242,0.02768370509147644,16,5,5,0.0,39,4
245,0.026449739933013916,16,7,5,0.0,25,127
256,0.025505155324935913,23,8,6,0.0,117,50
258,0.025357097387313843,18,6,7,0.0,64,18
260,0.025240957736968994,28,11,6,0.0,96,8
264,0.024913668632507324,19,6,6,0.0,81,85
270,0.02393341064453125,21,8,7,0.0,29,148
283,0.0225028395652771,22,7,6,0.0,111,13
284,0.022498518228530884,17,4,8,0.0,49,140
291,0.021623611450195312,17,5,6,3.0,83,134
300,0.020527184009552002,18,7,7,0.0,60,73
304,0.020276516675949097,16,4,6,0.0,70,47
306,0.020161569118499756,21,5,8,0.0,16,220
309,0.019325047731399536,16,7,5,0.0,7,98
322,0.018227607011795044,19,8,5,0.0,36,39
328,0.01754745841026306,19,8,6,0.0,60,215
336,0.01689794659614563,18,9,6,0.0,48,224
371,0.014626681804656982,16,5,6,0.0,73,219
